GMDandPRIMe_names,MetNames,Match,HMDB,PubChem,ChEBI,KEGG,METLIN,SMILES,CAS,InChI,Formula,MW,RETENTIONTIME,RETENTIONINDEX
M000260_A217019-101-xxx_NA_2170.45_TRUE_VAR5_ALK_Homoserine lactone. N-decanoyl-,Homoserine lactone. N-decanoyl-,,,,,,,,106983-36-2,InChI=1S/C14H25NO3/c1-2-3-4-5-6-7-8-9-13(16)15-12-10-11-18-14(12)17/h12H.2-11H2.1H3.(H.15.16),C14H25NO3,255.354,,2170.45
M000509_A217022-101-xxx_NA_0_FALSE_VAR5_ALK_Fructose-1-phosphate (6TMS) MP,Fructose-1-phosphate,Sorbose 1-phosphate,HMDB0006797,439837,38342,C02888,378,C([C@@H]([C@H]([C@@H](C(=O)COP(=O)(O)O)O)O)O)O,,InChI=1S/C6H13O9P/c7-1-3(8)5(10)6(11)4(9)2-15-16(12.13)14/h3.5-8.10-11H.1-2H2.(H2.12.13.14),C24H61O9PSi6,693.223,,0
M001198_A217023-101-xxx_NA_2177.06_TRUE_VAR5_ALK_Radicamine B (5TMS),Radicamine B,,,,,,,,,InChI=1S/C11H15NO4/c13-5-8-10(15)11(16)9(12-8)6-1-3-7(14)4-2-6/h1-4.8-16H.5H2/t8-.9-.10-.11-/m1/s1,C26H55NO4Si5,586.147,,2177.06
M000000_A217024-101-xxx_NA_2171.47_PRED_VAR5_ALK_Palmitic-acid-amide,Palmitic-acid-amide,,,,,,,,,,,,,2171.47
M000000_A217025-101-xxx_NA_2169.17_PRED_VAR5_ALK_Gamma-Glutamylvaline_3TMS,Gamma-Glutamylvaline,,,7015683,68848,,,,,,,,,2169.17
M000000_A218001-101-xxx_NA_2172.68_PRED_VAR5_ALK_NA,NA,,,,,,,,,,,,,2172.68
M000834_A218002-101-xxx_NA_2173.41_PRED_VAR5_ALK_Glycerophosphoglycerol (5TMS),Glycerophosphoglycerol,NA,,,,,,,,InChI=1S/C6H15O8P/c7-1-5(9)3-13-15(11.12)14-4-6(10)2-8/h5-10H.1-4H2.(H.11.12),C21H55O8PSi5,607.058,,2173.41
M000000_A218003-101-xxx_NA_2168.56_PRED_VAR5_ALK_NA,NA,,,,,,,,,,,,,2168.56
M000000_A218006-101-xxx_NA_2177.16_PRED_VAR5_ALK_NA,NA,,,,,,,,,,,,,2177.16
M001070_A218008-101-xxx_NA_2215.81_TRUE_VAR5_ALK_Indole-3-acetic acid. 5-hydroxy-. 1H- (3TMS),Indole-3-acetic acid. 5-hydroxy-. 1H-,5-Hydroxyindoleacetic acid,HMDB0000763,1826,27823,C05635,2975,C1=CC2=C(C=C1O)C(=CN2)CC(=O)O,54-16-0,InChI=1S/C10H9NO3/c12-7-1-2-9-8(4-7)6(5-11-9)3-10(13)14/h1-2.4-5.11-12H.3H2.(H.13.14),C19H33NO3Si3,407.727,,2215.81
M001045_A218009-101-xxx_NA_2182_TRUE_VAR5_ALK_Lipoamide. alpha- (1TMS),Lipoamide. alpha-,Lipoamide,HMDB0000962,863,17460,C00248,3372,C1CSSC1CCCCC(=O)N,3206-73-3,InChI=1S/C8H15NOS2/c9-8(10)4-2-1-3-7-5-6-11-12-7/h7H.1-6H2.(H2.9.10),C11H23NOS2Si,277.524,,2182
M001048_A218010-101-xxx_NA_2189.56_TRUE_VAR5_ALK_Kynurenine (3TMS),Kynurenine,L-Kynurenine,HMDB0000684,161166,16946,C00328,72,C1=CC=C(C(=C1)C(=O)C[C@@H](C(=O)O)N)N,,InChI=1S/C10H12N2O3/c11-7-4-2-1-3-6(7)9(13)5-8(12)10(14)15/h1-4.8H.5.11-12H2.(H.14.15),C19H36N2O3Si3,424.758,,2189.56
M001055_A218011-101-xxx_NA_2183.36_TRUE_VAR5_ALK_2-Naphthoic acid. 1.4-dihydroxy (3TMS),2-Naphthoic acid. 1.4-dihydroxy,"1,4-Dihydroxy-2-naphthoate",METPA0422,,,C03657,,,,InChI=1S/C11H8O4/c12-9-5-8(11(14)15)10(13)7-4-2-1-3-6(7)9/h1-5.12-13H.(H.14.15),C20H32O4Si3,420.723,,2183.36
M000000_A218014-101-xxx_NA_2178.4_PRED_VAR5_ALK_Gamma-Glutamylleucine_2TMS,Gamma-Glutamylleucine,,,151023,68433,,,,,,,,,2178.4
M000000_A219001-101-xxx_NA_2184.43_PRED_VAR5_ALK_NA,NA,,,,,,,,,,,,,2184.43
M000207_A219002-101-xxx_NA_2202.57_TRUE_VAR5_ALK_Glycine. N-cinnamoyl-. trans- (1TMS),Glycine. N-cinnamoyl-. trans-,NA,,,,,,,16534-24-0,InChI=1S/C11H11NO3/c13-10(12-8-11(14)15)7-6-9-4-2-1-3-5-9/h1-7H.8H2.(H.12.13)(H.14.15)/b7-6+,C14H19NO3Si,277.392,,2202.57
M000185_A219003-101-xxx_NA_2195.16_PRED_VAR5_ALK_Indole-3-butanoic acid. 1H- (2TMS),Indole-3-butanoic acid. 1H-,3-Indolebutyric acid,HMDB0002096,8617,33070,C11284,6485,C1=CC=C2C(=C1)C(=CN2)CCCC(=O)O,133-32-4,InChI=1S/C12H13NO2/c14-12(15)7-3-4-9-8-13-11-6-2-1-5-10(9)11/h1-2.5-6.8.13H.3-4.7H2.(H.14.15),C18H29NO2Si2,347.6,,2195.16
M000012_A219006-101-xxx_NA_2202.67_TRUE_VAR5_ALK_Tryptophan (2TMS),Tryptophan,L-Tryptophan,HMDB0000929,6305,16828,C00078,5879,C1=CC=C2C(=C1)C(=CN2)C[C@@H](C(=O)O)N,1954/12/6,InChI=1S/C11H12N2O2/c12-9(11(14)15)5-7-6-13-10-4-2-1-3-8(7)10/h1-4.6.9.13H.5.12H2.(H.14.15),C17H28N2O2Si2,348.588,,2202.67
M000870_A219007-101-xxx_NA_2188.76_PRED_VAR5_ALK_Siloxane,Siloxane,,,,,,,,,InChI=1S/H6OSi2/c2-1-3/h2-3H3,,,,2188.76
M000490_A219008-101-xxx_NA_2190.96_PRED_VAR5_ALK_Octadecatrienoic acid. 6.9.12-(Z.Z.Z)-. n- (1TMS),Octadecatrienoic acid. 6.9.12-(Z.Z.Z)-. n-,Gamma-Linolenic acid,HMDB0003073,5280933,28661,C06426,386,CCCCC/C=C\C/C=C\C/C=C\CCCCC(=O)O,506-26-3,InChI=1S/C18H30O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h6-7.9-10.12-13H.2-5.8.11.14-17H2.1H3.(H.19.20)/b7-6-.10-9-.13-12-,C21H38O2Si,350.611,,2190.96
M001050_A219009-101-xxx_NA_2197.08_TRUE_VAR5_ALK_Indole-3-pyruvic acid (1MEOX) (2TMS) MP,Indole-3-pyruvic acid,NA,,,,,,,,InChI=1S/C11H9NO3/c13-10(11(14)15)5-7-6-12-9-4-2-1-3-8(7)9/h1-4.6.12H.5H2.(H.14.15),C18H28N2O3Si2,376.598,,2197.08
M001127_A219010-101-xxx_NA_2190.48_TRUE_VAR5_ALK_Malic acid. 3-oxalo- (1MEOX) (4TMS) MP,Malic acid. 3-oxalo-,3-Oxalomalate,METPA0238,,,C01990,,,,InChI=1S/C6H6O8/c7-2(5(11)12)1(4(9)10)3(8)6(13)14/h1-2.7H.(H.9.10)(H.11.12)(H.13.14),C19H41NO8Si4,523.873,,2190.48
M000000_A219011-101-xxx_NA_2197.95_TRUE_VAR5_ALK_NA,NA,,,,,,,,,,,,,2197.95
M000000_A219012-101-xxx_NA_2190.23_PRED_VAR5_ALK_Unknown#sst-cgl-101,Unknown#sst-cgl-101,,,,,,,,,,,,,2190.23
M000550_A220001-101-xxx_NA_2200_TRUE_VAR5_ALK_Docosane. n-,Docosane. n-,,,,,,,,629-97-0,InChI=1S/C22H46/c1-3-5-7-9-11-13-15-17-19-21-22-20-18-16-14-12-10-8-6-4-2/h3-22H2.1-2H3,C22H46,310.601,,2200
M000106_A220002-101-xxx_NA_2193.66_TRUE_VAR5_ALK_Spermidine (4TMS),Spermidine,Spermidine,HMDB0001257,1102,16610,C00315,254,C(CCNCCCN)CN,124-20-9,InChI=1S/C7H19N3/c8-4-1-2-6-10-7-3-5-9/h10H.1-9H2,C19H51N3Si4,433.971,,2193.66
M000000_A220003-101-xxx_NA_2189.45_PRED_VAR5_ALK_NA,NA,,,,,,,,,,,,,2189.45
M001056_A220006-101-xxx_NA_2207.05_TRUE_VAR5_ALK_Hexadecanoic acid. 3-hydroxy- (2TMS),Hexadecanoic acid. 3-hydroxy-,,,,,,,,928-17-6,InChI=1S/C16H32O3/c1-2-3-4-5-6-7-8-9-10-11-12-13-15(17)14-16(18)19/h15.17H.2-14H2.1H3.(H.18.19),C22H48O3Si2,416.786,,2207.05
M001173_A220007-101-xxx_NA_2203.71_TRUE_VAR5_ALK_Cystineamine (4TMS),Cystineamine,,,,,,,,,InChI=1S/C4H12N2S2/c5-1-3-7-8-4-2-6/h1-6H2,C16H44N2S2Si4,441.008,,2203.71
M000000_A220009-101-xxx_NA_2201.56_PRED_VAR5_ALK_Unknown#sst-cgl-102,Unknown#sst-cgl-102,,,,,,,,,,,,,2201.56
M000022_A221001-101-xxx_NA_2197.62_TRUE_VAR5_ALK_Cystathionine (4TMS),Cystathionine,Allocystathionine,HMDB0000455,10104953,17482,C00542,5444,C(CSCC(C(=O)O)N)[C@@H](C(=O)O)N,56-88-2,InChI=1S/C7H14N2O4S/c8-4(6(10)11)1-2-14-3-5(9)7(12)13/h4-5H.1-3.8-9H2.(H.10.11)(H.12.13)/t4-.5-/m0/s1,C19H46N2O4SSi4,510.988,,2197.62
M000000_A221002-101-xxx_NA_2206.52_PRED_VAR5_ALK_NA,NA,,,,,,,,,,,,,2206.52
M000488_A221003-101-xxx_NA_2209.91_TRUE_VAR5_ALK_Octadecadienoic acid. 9.12-(Z.Z)- (1TMS),Octadecadienoic acid. 9.12-(Z.Z)-,Linoleic acid,HMDB0000673,5280450,17351,C01595,191,CCCCC/C=C\C/C=C\CCCCCCCC(=O)O,60-33-3,InChI=1S/C18H32O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h6-7.9-10H.2-5.8.11-17H2.1H3.(H.19.20)/b7-6-.10-9-,C21H40O2Si,352.627,,2209.91
M000000_A221004-101-xxx_NA_2197.89_PRED_VAR5_ALK_NA,NA,,,,,,,,,,,,,2197.89
M000000_A221010-101-xxx_NA_2201.84_PRED_VAR5_ALK_Octadecanoic acid methyl ester. 9.10-(Z)-methylene-,Octadecanoic acid methyl ester. 9.10-(Z)-methylene-,,,,,,,,,,C20H38O2,310.515,,2201.84
M001057_A221011-101-xxx_NA_2210.86_TRUE_VAR5_ALK_Shikimic acid-3-phosphate (5TMS),Shikimic acid-3-phosphate,Shikimate 3-phosphate,METPA0369,,,C03175,,,,InChI=1S/C7H11O8P/c8-4-1-3(7(10)11)2-5(6(4)9)15-16(12.13)14/h2.4-6.8-9H.1H2.(H.10.11)(H2.12.13.14),C22H51O8PSi5,615.037,,2210.86
M001058_A221012-101-xxx_NA_2216.58_TRUE_VAR5_ALK_Octadecenoic acid. 6-(Z)- (1TMS),Octadecenoic acid. 6-(Z)-,Petroselinic acid,HMDB0002080,5461010,32375,C08363,6476,CCCCCCCCCCC/C=C\CCCCC(=O)[O-],593-39-5,InChI=1S/C18H34O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h12-13H.2-11.14-17H2.1H3.(H.19.20)/b13-12-,C21H42O2Si,354.643,,2216.58
M000000_A221013-101-xxx_NA_2210.48_PRED_VAR5_ALK_Unknown#sst-cgl-103,Unknown#sst-cgl-103,,,,,,,,,,,,,2210.48
M001228_A221017-101-xxx_NA_2210.51_TRUE_VAR5_ALK_Pseudoephedrine glycinamide (3TMS),Pseudoephedrine glycinamide,,,,,,,,,InChI=1S/C12H18N2O2/c1-9(14(2)11(15)8-13)12(16)10-6-4-3-5-7-10/h3-7.9.12.16H.8.13H2.1-2H3/t9-.12+/m0/s1,,,,2210.51
M000486_A222001-101-xxx_NA_2221.65_TRUE_VAR5_ALK_Octadecenoic acid. 9-(Z)- (1TMS),Octadecenoic acid. 9-(Z)-,Oleic acid,HMDB0000207,445639,16196,C00712,190,CCCCCCCC/C=C\CCCCCCCC(=O)O,112-80-1,InChI=1S/C18H34O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h9-10H.2-8.11-17H2.1H3.(H.19.20)/b10-9-,C21H42O2Si,354.643,,2221.65
M000175_A222002-101-xxx_NA_2233.12_TRUE_VAR5_ALK_Tryptamine (3TMS),Tryptamine,Tryptamine,HMDB0000303,1150,16765,C00398,325,C1=CC=C2C(=C1)C(=CN2)CCN,61-54-1,InChI=1S/C10H12N2/c11-6-5-8-7-12-10-4-2-1-3-9(8)10/h1-4.7.12H.5-6.11H2,C19H36N2Si3,376.76,,2233.12
M000491_A222003-101-xxx_NA_2217.41_PRED_VAR5_ALK_Octadecatrienoic acid. 9.12.15-(Z.Z.Z)-. n- (1TMS),Octadecatrienoic acid. 9.12.15-(Z.Z.Z)-. n-,Alpha-Linolenic acid,HMDB0001388,5280934,27432,C06427,6208,CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)O,463-40-1,InChI=1S/C18H30O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h3-4.6-7.9-10H.2.5.8.11-17H2.1H3.(H.19.20)/b4-3-.7-6-.10-9-,C21H38O2Si,350.611,,2217.41
M000551_A222006-101-xxx_NA_2210.49_PRED_VAR5_ALK_Octadecadienoic acid. n- (1TMS),Octadecadienoic acid. n-,,,,,,,,,InChI=1S/C18H32O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h14-17H.2-13H2.1H3.(H.19.20)/b15-14+.17-16+,C21H40O2Si,352.627,,2210.49
M000175_A222007-101-xxx_NA_2224.53_TRUE_VAR5_ALK_Tryptamine (2TMS),Tryptamine,Tryptamine,HMDB0000303,1150,16765,C00398,325,C1=CC=C2C(=C1)C(=CN2)CCN,61-54-1,InChI=1S/C10H12N2/c11-6-5-8-7-12-10-4-2-1-3-9(8)10/h1-4.7.12H.5-6.11H2,C16H28N2Si2,304.578,,2224.53
M000000_A222008-101-xxx_NA_2224.48_TRUE_VAR5_ALK_D222462,D222462,,,,,,,,,,,,,2224.48
M000000_A222009-101-xxx_NA_2215.09_PRED_VAR5_ALK_Gamma-Glutamylleucine_3TMS,Gamma-Glutamylleucine,,,151023,68433,,,,,,,,,2215.09
M000000_A222010-101-xxx_NA_2218.3_PRED_VAR5_ALK_Unknown#sst-cgl-104,Unknown#sst-cgl-104,,,,,,,,,,,,,2218.3
M000012_A223001-101-xxx_NA_2217.55_TRUE_VAR5_ALK_Tryptophan (3TMS),Tryptophan,L-Tryptophan,HMDB0000929,6305,16828,C00078,5879,C1=CC=C2C(=C1)C(=CN2)C[C@@H](C(=O)O)N,73-22-3,InChI=1S/C11H12N2O2/c12-9(11(14)15)5-7-6-13-10-4-2-1-3-8(7)10/h1-4.6.9.13H.5.12H2.(H.14.15)/t9-/m0/s1,C20H36N2O2Si3,420.769,,2217.55
M000012_A223002-101-xxx_NA_2214.69_TRUE_VAR5_ALK_Tryptophan (2TMS),Tryptophan,L-Tryptophan,HMDB0000929,6305,16828,C00078,5879,C1=CC=C2C(=C1)C(=CN2)C[C@@H](C(=O)O)N,1954/12/6,InChI=1S/C11H12N2O2/c12-9(11(14)15)5-7-6-13-10-4-2-1-3-8(7)10/h1-4.6.9.13H.5.12H2.(H.14.15),C17H28N2O2Si2,348.588,,2214.69
M000487_A223003-101-xxx_NA_2225.44_TRUE_VAR5_ALK_Octadecenoic acid. 9-(E)- (1TMS),Octadecenoic acid. 9-(E)-,Oleic acid,HMDB0000207,445639,16196,C00712,190,CCCCCCCC/C=C\CCCCCCCC(=O)O,112-79-8,InChI=1S/C18H34O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h9-10H.2-8.11-17H2.1H3.(H.19.20)/b10-9+,C21H42O2Si,354.643,,2225.44
M000715_A223004-101-xxx_NA_2233.19_TRUE_VAR5_ALK_Nonadecanoic acid methyl ester,Nonadecanoic acid methyl ester,,,,,,,,1731-94-8,InChI=1S/C20H40O2/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20(21)22-2/h3-19H2.1-2H3,C20H40O2,312.531,,2233.19
M000000_A223005-101-xxx_NA_2221.51_PRED_VAR5_ALK_NA,NA,,,,,,,,,,,,,2221.51
M000552_A223008-101-xxx_NA_2219.02_PRED_VAR5_ALK_Octadecadienoic acid. n- (1TMS),Octadecadienoic acid. n-,,,,,,,,,InChI=1S/C18H32O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h14-17H.2-13H2.1H3.(H.19.20)/b15-14+.17-16+,C21H40O2Si,352.627,,2219.02
M000553_A223009-101-xxx_NA_2226.44_PRED_VAR5_ALK_Octadecatrienoic acid. n- (1TMS),Octadecatrienoic acid. n-,,,,,,,,,InChI=1S/C18H30O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h12-17H.2-11H2.1H3.(H.19.20)/b13-12+.15-14+.17-16+,C21H38O2Si,350.611,,2226.44
M000553_A223010-101-xxx_NA_2222.53_PRED_VAR5_ALK_Octadecatrienoic acid. n- (1TMS),Octadecatrienoic acid. n-,,,,,,,,,InChI=1S/C18H30O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h12-17H.2-11H2.1H3.(H.19.20)/b13-12+.15-14+.17-16+,C21H38O2Si,350.611,,2222.53
M001059_A223012-101-xxx_NA_2235.71_TRUE_VAR5_ALK_Biotin. dethio- (3TMS),Biotin. dethio-,Dethiobiotin,HMDB0003581,445027,42280,C01909,3351,C[C@H]1[C@H](NC(=O)N1)CCCCCC(=O)O,533-48-2,InChI=1S/C10H18N2O3/c1-7-8(12-10(15)11-7)5-3-2-4-6-9(13)14/h7-8H.2-6H2.1H3.(H.13.14)(H2.11.12.15)/t7-.8+/m0/s1,C19H42N2O3Si3,430.805,,2235.71
M001060_A223013-101-xxx_NA_2231.37_TRUE_VAR5_ALK_Tyrosine. 3-iodo- (2TMS),Tyrosine. 3-iodo-,Iodotyrosine,HMDB0000021,439744,27847,C02515,,C1=CC(=C(C=C1C[C@@H](C(=O)O)N)I)O,,InChI=1S/C9H10INO3/c10-6-3-5(1-2-8(6)12)4-7(11)9(13)14/h1-3.7.12H.4.11H2.(H.13.14)/t7-/m0/s1,C15H26INO3Si2,451.448,,2231.37
M000000_A223015-101-xxx_NA_2231.46_TRUE_VAR5_ALK_D223156,D223156,,,,,,,,,,,,,2231.46
M000000_A224001-101-xxx_NA_2231.6_PRED_VAR5_ALK_NA,NA,,,,,,,,,,,,,2231.6
M000000_A224002-101-xxx_NA_2226.56_PRED_VAR5_ALK_NA,NA,,,,,,,,,,,,,2226.56
M000000_A224006-101-xxx_NA_2245.92_PRED_VAR5_ALK_NA,NA,,,,,,,,,,,,,2245.92
M000168_A224007-101-xxx_NA_2238.31_PRED_VAR5_ALK_Mannose-1-phosphate (6TMS),Mannose-1-phosphate,Glucose 1-phosphate,HMDB0001586,439165,16077,C00103,6331,C([C@@H]1[C@H]([C@@H]([C@H](C(O1)OP(=O)(O)O)O)O)O)O,55520-81-5,InChI=1S/C6H13O9P/c7-1-2-3(8)4(9)5(10)6(14-2)15-16(11.12)13/h2-10H.1H2.(H2.11.12.13)/t2?.3-.4+.5+.6?/m0/s1,C24H61O9PSi6,693.223,,2238.31
M001061_A224008-101-xxx_NA_2243.39_TRUE_VAR5_ALK_Tyrosine. 3-nitro- (3TMS),Tyrosine. 3-nitro-,,,,,,,,621-44-3,InChI=1S/C9H10N2O5/c10-6(9(13)14)3-5-1-2-8(12)7(4-5)11(15)16/h1-2.4.6.12H.3.10H2.(H.13.14)/t6-/m0/s1,C18H34N2O5Si3,442.73,,2243.39
M001060_A224009-101-xxx_NA_2249.55_TRUE_VAR5_ALK_Tyrosine. 3-iodo- (3TMS),Tyrosine. 3-iodo-,Iodotyrosine,HMDB0000021,439744,27847,C02515,,C1=CC(=C(C=C1C[C@@H](C(=O)O)N)I)O,,InChI=1S/C9H10INO3/c10-6-3-5(1-2-8(6)12)4-7(11)9(13)14/h1-3.7.12H.4.11H2.(H.13.14)/t7-/m0/s1,C18H34INO3Si3,523.629,,2249.55
M000000_A224010-101-xxx_NA_2234.73_PRED_VAR5_ALK_Palmitic-acid-amide_1TMS,Palmitic-acid-amide,,,,,,,,,,,,,2234.73
M000000_A224011-101-xxx_NA_2243.74_PRED_VAR5_ALK_Unknown#sst-cgl-107,Unknown#sst-cgl-107,,,,,,,,,,,,,2243.74
M001229_A224014-101-xxx_NA_2246.97_TRUE_VAR5_ALK_Glycylglycylglycine (5TMS),Glycylglycylglycine,,,11161,63961,,,,,InChI=1S/C6H11N3O4/c7-1-4(10)8-2-5(11)9-3-6(12)13/h1-3.7H2.(H.8.10)(H.9.11)(H.12.13),,,,2246.97
M000010_A225001-101-xxx_NA_2216.86_TRUE_VAR5_ALK_Sinapic acid. trans- (2TMS),Sinapic acid. trans-,Sinapic acid,HMDB0032616,637775,15714,C00482,,COC1=CC(=CC(=C1O)OC)/C=C/C(=O)O,530-59-6,InChI=1S/C11H12O5/c1-15-8-5-7(3-4-10(12)13)6-9(16-2)11(8)14/h3-6.14H.1-2H3.(H.12.13)/b4-3+,C17H28O5Si2,368.573,,2216.86
M000485_A225002-101-xxx_NA_2243.45_TRUE_VAR5_ALK_Octadecanoic acid (1TMS),Octadecanoic acid,Stearic acid,HMDB0000827,5281,28842,C01530,189,CCCCCCCCCCCCCCCCCC(=O)O,1957/11/4,InChI=1S/C18H36O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h2-17H2.1H3.(H.19.20),C21H44O2Si,356.659,,2243.45
M000000_A225003-101-xxx_NA_2247.12_PRED_VAR5_ALK_NA,NA,,,,,,,,,,,,,2247.12
M000000_A225004-101-xxx_NA_2246.62_PRED_VAR5_ALK_NA,NA,,,,,,,,,,,,,2246.62
M000709_A225006-101-xxx_NA_2250.6_TRUE_VAR5_ALK_Glucoheptonic acid (7TMS),Glucoheptonic acid,Calcium Gluceptate,HMDB0014471,62859,3314,,,C([C@H]([C@H]([C@@H]([C@H](C(C(=O)[O-])O)O)O)O)O)O.C([C@H]([C@H]([C@@H]([C@H](C(C(=O)[O-])O)O)O)O)O)O.[Ca+2],10094-62-9,InChI=1S/C7H14O8..H2O/c8-1-2(9)3(10)4(11)5(12)6(13)7(14)15;;/h2-6.8-13H.1H2.(H.14.15);;1H2,C28H70O8Si7,731.45,,2250.6
M000000_A225007-101-xxx_NA_2243.29_PRED_VAR5_ALK_NA,NA,,,,,,,,,,,,,2243.29
M000870_A225011-101-xxx_NA_2256.43_PRED_VAR5_ALK_Siloxane,Siloxane,,,,,,,,,InChI=1S/H6OSi2/c2-1-3/h2-3H3,,,,2256.43
M000710_A225012-101-xxx_NA_2114.69_TRUE_VAR5_ALK_Glucoheptonic acid-1.4-lactone (5TMS),Glucoheptonic acid-1.4-lactone,,,,,,,,79703-26-7,InChI=1S/C7H12O7/c8-1-2(9)3(10)6-4(11)5(12)7(13)14-6/h2-6.8-12H.1H2/t2-.3+.4+.5?.6-/m1/s1,C22H52O7Si5,569.072,,2114.69
M000000_A225015-101-xxx_NA_2247.55_PRED_VAR5_ALK_Unknown#sst-cgl-108,Unknown#sst-cgl-108,,,,,,,,,,,,,2247.55
M000000_A225016-101-xxx_NA_2252.46_PRED_VAR5_ALK_Unknown#sst-cgl-109,Unknown#sst-cgl-109,,,,,,,,,,,,,2252.46
M000000_A226001-101-xxx_NA_2244.52_PRED_VAR5_ALK_NA,NA,,,,,,,,,,,,,2244.52
M000106_A226002-101-xxx_NA_2251.32_TRUE_VAR5_ALK_Spermidine (5TMS),Spermidine,Spermidine,HMDB0001257,1102,16610,C00315,254,C(CCNCCCN)CN,124-20-9,InChI=1S/C7H19N3/c8-4-1-2-6-10-7-3-5-9/h10H.1-9H2,C22H59N3Si5,506.152,,2251.32
M000000_A226003-101-xxx_NA_2249.53_PRED_VAR5_ALK_NA,NA,,,,,,,,,,,,,2249.53
M000000_A226004-101-xxx_NA_2243.87_PRED_VAR5_ALK_NA,NA,,,,,,,,,,,,,2243.87
M000000_A226006-101-xxx_NA_2246.02_PRED_VAR5_ALK_NA,NA,,,,,,,,,,,,,2246.02
M000000_A226007-101-xxx_NA_2253.82_PRED_VAR5_ALK_NA,NA,,,,,,,,,,,,,2253.82
M001062_A226010-101-xxx_NA_2262.63_TRUE_VAR5_ALK_Glycyl-phenylalanine (4TMS),Glycyl-phenylalanine,,,,,,,,3321/3/7,InChI=1S/C11H14N2O3/c12-7-10(14)13-9(11(15)16)6-8-4-2-1-3-5-8/h1-5.9H.6-7.12H2.(H.13.14)(H.15.16)/t9-/m0/s1,C23H46N2O3Si4,510.966,,2262.63
M001063_A226011-101-xxx_NA_2263.37_TRUE_VAR5_ALK_Quinoline-2-carboxylic acid. 4.8-dihydroxy- (3TMS),Quinoline-2-carboxylic acid. 4.8-dihydroxy-,Xanthurenic acid,HMDB0000881,5699,217069,C02470,5841,C1=CC2=C(C(=C1)O)NC(=CC2=O)C(=O)O,59-00-7,InChI=1S/C10H7NO4/c12-7-3-1-2-5-8(13)4-6(10(14)15)11-9(5)7/h1-4.12H.(H.11.13)(H.14.15),C19H31NO4Si3,421.711,,2263.37
M001064_A226012-101-xxx_NA_2261.12_TRUE_VAR5_ALK_Muramic acid. N-acetyl- (1MEOX) (5TMS) MP,Muramic acid. N-acetyl-,NA,,,,,,,,InChI=1S/C11H19NO8/c1-4(10(16)17)19-9-7(12-5(2)14)11(18)20-6(3-13)8(9)15/h4.6-9.11.13.15.18H.3H2.1-2H3.(H.12.14)(H.16.17)/t4?.6-.7-.8-.9-.11+/m1/s1,C27H61N2O8Si5,682.21,,2261.12
M001196_A226013-101-xxx_NA_2264.53_TRUE_VAR5_ALK_Radicamine A (5TMS),Radicamine A,,,,,,,,,InChI=1S/C12H17NO5/c1-18-9-3-2-6(4-8(9)15)10-12(17)11(16)7(5-14)13-10/h2-4.7.10-17H.5H2.1H3/t7-.10-.11-.12-/m1/s1,C27H57NO5Si5,616.173,,2264.53
M000000_A226014-101-xxx_NA_2265.6_TRUE_VAR5_ALK_D226501,D226501,,,,,,,,,,,,,2265.6
M000000_A226015-101-xxx_NA_2254.66_PRED_VAR5_ALK_Unknown#sst-cgl-A16,Unknown#sst-cgl-A16,,,,,,,,,,,,,2254.66
M000000_A227001-101-xxx_NA_2259.04_PRED_VAR5_ALK_NA,NA,,,,,,,,,,,,,2259.04
M000554_A227004-101-xxx_NA_2259.24_PRED_VAR5_ALK_Octadecadienoic acid. n- (1TMS),Octadecadienoic acid. n-,,,,,,,,,InChI=1S/C18H32O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h14-17H.2-13H2.1H3.(H.19.20)/b15-14+.17-16+,C21H40O2Si,352.627,,2259.24
M001064_A227005-101-xxx_NA_2277.4_TRUE_VAR5_ALK_Muramic acid. N-acetyl- (1MEOX) (5TMS) BP,Muramic acid. N-acetyl-,NA,,,,,,,,InChI=1S/C11H19NO8/c1-4(10(16)17)19-9-7(12-5(2)14)11(18)20-6(3-13)8(9)15/h4.6-9.11.13.15.18H.3H2.1-2H3.(H.12.14)(H.16.17)/t4?.6-.7-.8-.9-.11+/m1/s1,C27H61N2O8Si5,682.21,,2277.4
