"GMDandPRIMe_names","MetNames"
"M000000_A196015-101-xxx_NA_1952.56_PRED_VAR5_ALK_NA","NA"
"M000000_A196021-101-xxx_NA_1954.98_PRED_VAR5_ALK_NA","NA"
"M000000_A196022-101-xxx_NA_1959.01_PRED_VAR5_ALK_NA","NA"
"M001031_A196023-101-xxx_NA_1966.49_TRUE_VAR5_ALK_Ethanesulfonic acid. 2-cyclohexylamino- (2TMS)","Ethanesulfonic acid. 2-cyclohexylamino-"
"M000000_A196026-101-xxx_NA_1964.13_TRUE_VAR5_ALK_NA_234_161_105_81","NA_234_161_105_81"
"M000000_A196027-101-xxx_NA_1964.23_TRUE_VAR5_ALK_D196430","D196430"
"M000000_A196028-101-xxx_NA_1967.78_TRUE_VAR5_ALK_NA196028 (classified unknown)","NA196028 (classified unknown)"
"M000000_A197001-101-xxx_NA_1963.74_PRED_VAR5_ALK_NA","NA"
"M000000_A197003-101-xxx_NA_1958.51_PRED_VAR5_ALK_similar to Glucopyranose (5TMS)","similar to Glucopyranose"
"M000000_A197004-101-xxx_NA_1958.41_PRED_VAR5_ALK_NA","NA"
"M000000_A197005-101-xxx_NA_1962.43_PRED_VAR5_ALK_NA","NA"
"M000000_A197006-101-xxx_NA_1965.45_PRED_VAR5_ALK_NA","NA"
"M000000_A197007-101-xxx_NA_1962.09_PRED_VAR5_ALK_NA197007","NA197007"
"M000870_A197008-101-xxx_NA_1975.67_PRED_VAR5_ALK_Siloxane","Siloxane"
"M001032_A197009-101-xxx_NA_1975.97_TRUE_VAR5_ALK_Canavanine (4TMS)","Canavanine"
"M000000_A197011-101-xxx_NA_1967.46_TRUE_VAR5_ALK_NA_234_161_105_190","NA_234_161_105_190"
"M000000_A197013-101-xxx_NA_1967.77_PRED_VAR5_ALK_Myristic-acid-amide","Myristic-acid-amide"
"M000127_A198001-101-xxx_NA_1970.59_TRUE_VAR5_ALK_Indole-3-acetic acid (2TMS)","Indole-3-acetic acid"
"M000000_A198002-101-xxx_NA_1970.19_PRED_VAR5_ALK_NA","NA"
"M000000_A198003-101-xxx_NA_1969.79_PRED_VAR5_ALK_NA","NA"
"M000000_A198004-101-xxx_NA_1975.26_PRED_VAR5_ALK_NA","NA"
"M000360_A198005-101-xxx_NA_1968.57_PRED_VAR5_ALK_Calystegine B2 (4TMS)","Calystegine B2"
"M999999_A198006-101-xxx_NA_1959.24_TRUE_VAR5_ALK_Glucopyranose. D- (5TMS)","Glucopyranose. D-"
"M000693_A198007-101-xxx_NA_1979.31_PRED_VAR5_ALK_Chalcone methoxyamine (1MeOX)","Chalcone methoxyamine"
"M000332_A198010-101-xxx_NA_1968.57_PRED_VAR5_ALK_Calystegine B4 (4TMS)","Calystegine B4"
"M001033_A198011-101-xxx_NA_1987.02_TRUE_VAR5_ALK_Glycyl-proline (3TMS)","Glycyl-proline"
"M000000_A198013-101-xxx_NA_1988.46_TRUE_VAR5_ALK_NA","NA"
"M000000_A198014-101-xxx_NA_1983.05_PRED_VAR5_ALK_Unknown#sst-cgl-087","Unknown#sst-cgl-087"
"M000650_A199001-101-xxx_NA_1977.62_TRUE_VAR5_ALK_Caffeic acid. cis- (3TMS)","Caffeic acid. cis-"
"M000596_A199002-101-xxx_NA_1980.32_TRUE_VAR5_ALK_Galactonic acid (6TMS)","Galactonic acid"
"M000000_A199003-101-xxx_NA_1980.3_PRED_VAR5_ALK_NA199003 (classified unknown)","NA199003 (classified unknown)"
"M000000_A199004-101-xxx_NA_1977.79_PRED_VAR5_ALK_NA","NA"
"M000257_A199005-101-xxx_NA_1975.14_TRUE_VAR5_ALK_Homoserine. O-succinyl- (2TMS)","Homoserine. O-succinyl-"
"M000184_A199006-101-xxx_NA_1998.04_TRUE_VAR5_ALK_Indole-3-acetaldehyde enol (2TMS) MP","Indole-3-acetaldehyde enol"
"M000701_A199007-101-xxx_NA_1984.54_TRUE_VAR5_ALK_Cinnamaldehyde. 3.5-dimethoxy-4-hydroxy-. cis- (1MEOX) (1TMS) MP","Cinnamaldehyde. 3.5-dimethoxy-4-hydroxy-. cis-"
"M000000_A199008-101-xxx_NA_1982.34_PRED_VAR5_ALK_NA","NA"
"M000000_A199009-101-xxx_NA_1992.22_PRED_VAR5_ALK_NA","NA"
"M000751_A199010-101-xxx_NA_1976.09_TRUE_VAR5_ALK_Pimelic acid. 2.6-diamino- (4TMS)","Pimelic acid. 2.6-diamino-"
"M000759_A199011-101-xxx_NA_1984.47_PRED_VAR5_ALK_Hexadecanoic acid. 15-methyl-. methyl ester","Hexadecanoic acid. 15-methyl-. methyl ester"
"M000729_A199012-101-xxx_NA_1993.13_TRUE_VAR5_ALK_Pyruvic acid. 4-hydroxyphenyl- (1MEOX) (3TMS) MP","Pyruvic acid. 4-hydroxyphenyl-"
"M001200_A199016-101-xxx_NA_1998.26_TRUE_VAR5_ALK_Homonojirimycin (6TMS)","Homonojirimycin"
"M000000_A199017-101-xxx_NA_1990.39_TRUE_VAR5_ALK_NA199017","NA199017"
"M000000_A199018-101-xxx_NA_1984.23_PRED_VAR5_ALK_N-Acetylglucosamine-6-phosphoric-acid_1MeOX_5TMS","N-Acetylglucosamine-6-phosphoric-acid5TMS"
"M000000_A199019-101-xxx_NA_1985.56_PRED_VAR5_ALK_Unknown#bth-pae-058","Unknown#bth-pae-058"
"M000000_A199020-101-xxx_NA_1988.68_PRED_VAR5_ALK_Unknown#sst-cgl-088","Unknown#sst-cgl-088"
"M000508_A200001-101-xxx_NA_1984.83_TRUE_VAR5_ALK_Gluconic acid (6TMS)","Gluconic acid"
"M000409_A200002-101-xxx_NA_1997.44_TRUE_VAR5_ALK_Ornithine. N2-acetyl- (3TMS)","Ornithine. N2-acetyl-"
"M000000_A200003-101-xxx_NA_1993.05_PRED_VAR5_ALK_NA","NA"
"M000000_A200004-101-xxx_NA_1988.93_PRED_VAR5_ALK_NA","NA"
"M000032_A200005-101-xxx_NA_1995.7_PRED_VAR5_ALK_Glutamine. DL- (4TMS)","Glutamine. DL-"
"M000425_A200006-101-xxx_NA_1987.66_TRUE_VAR5_ALK_Pantothenic acid. D- (3TMS)","Pantothenic acid. D-"
"M000425_A200007-101-xxx_NA_1929.41_TRUE_VAR5_ALK_Pantothenic acid. D- (4TMS)","Pantothenic acid. D-"
"M000544_A200008-101-xxx_NA_2002.55_PRED_VAR5_ALK_Eicosane. n-","Eicosane. n-"
"M000000_A200009-101-xxx_NA_1996.47_PRED_VAR5_ALK_NA","NA"
"M000312_A200011-101-xxx_NA_1980.05_TRUE_VAR5_ALK_Gluconic acid. 2-amino-2-deoxy- (6TMS)","Gluconic acid. 2-amino-2-deoxy-"
"M000654_A200012-101-xxx_NA_2009.48_TRUE_VAR5_ALK_Cinnamic acid. 2.5-dimethoxy-. trans- (1TMS)","Cinnamic acid. 2.5-dimethoxy-. trans-"
"M000847_A200013-101-xxx_NA_2009.87_TRUE_VAR5_ALK_Acrylic acid. 4-imidazole- (2TMS)","Acrylic acid. 4-imidazole-"
"M001034_A200014-101-xxx_NA_2009.64_TRUE_VAR5_ALK_Theobromine (1TMS)","Theobromine"
"M000000_A200017-101-xxx_NA_2003.06_TRUE_VAR5_ALK_D200302","D200302"
"M000000_A200018-101-xxx_NA_2008.42_TRUE_VAR5_ALK_D200830","D200830"
"M000000_A200019-101-xxx_NA_2002.25_PRED_VAR5_ALK_Unknown#sst-cgl-089","Unknown#sst-cgl-089"
"M000093_A201001-101-xxx_NA_1999.87_TRUE_VAR5_ALK_Saccharic acid (6TMS)","Saccharic acid"
"M000000_A201002-101-xxx_NA_2004.24_PRED_VAR5_ALK_NA201002 (classified unknown)","NA201002 (classified unknown)"
"M000000_A201004-101-xxx_NA_1996.16_TRUE_VAR5_ALK_NA201004 (classified unknown)","NA201004 (classified unknown)"
"M001223_A201005-101-xxx_NA_1992.67_TRUE_VAR5_ALK_1.2.3-Propanetriol. 1-(4-hydroxy-3-methoxyphenyl)- (4TMS)","1.2.3-Propanetriol. 1-(4-hydroxy-3-methoxyphenyl)-"
"M000000_A201006-101-xxx_NA_2003.51_PRED_VAR5_ALK_NA","NA"
"M000000_A201011-101-xxx_NA_2003.7_PRED_VAR5_ALK_NA","NA"
"M000755_A201012-101-xxx_NA_2006.26_PRED_VAR5_ALK_Hexadecanoic acid methyl ester. 9.10-(Z)-methylene-","Hexadecanoic acid methyl ester. 9.10-(Z)-methylene-"
"M000445_A201013-101-xxx_NA_1759_TRUE_VAR5_ALK_Pyridine-2.6-dicarboxylic acid (2TMS)","Pyridine-2.6-dicarboxylic acid"
"M000000_A201014-101-xxx_NA_2017.42_TRUE_VAR5_ALK_Xanthine (3TMS)","Xanthine"
"M000000_A201016-101-xxx_NA_2015.45_TRUE_VAR5_ALK_NA_236_151_109_95","NA_236_151_109_95"
"M000545_A202001-101-xxx_NA_2021.55_PRED_VAR5_ALK_Hexadecenoic acid. n- (1TMS)","Hexadecenoic acid. n-"
"M000000_A202004-101-xxx_NA_2010.27_PRED_VAR5_ALK_similar to Inositol (6TMS)","similar to Inositol"
"M000223_A202005-101-xxx_NA_2020.21_TRUE_VAR5_ALK_Cinnamaldehyde. 3.5-dimethoxy-4-hydroxy-. trans- (1MEOX) (1TMS) BP","Cinnamaldehyde. 3.5-dimethoxy-4-hydroxy-. trans-"
"M000000_A202006-101-xxx_NA_2017.1_PRED_VAR5_ALK_NA","NA"
"M000000_A202007-101-xxx_NA_2020.22_PRED_VAR5_ALK_NA","NA"
"M000653_A202009-101-xxx_NA_2018.28_PRED_VAR5_ALK_But-3-enoic acid. 2-amino-4-(2-aminoethoxy)-. (S)-trans- (4TMS)","But-3-enoic acid. 2-amino-4-(2-aminoethoxy)-. (S)-trans-"
"M001035_A202010-101-xxx_NA_2022.82_TRUE_VAR5_ALK_Tetradecanoic acid. 3-hydroxy- (2TMS)","Tetradecanoic acid. 3-hydroxy-"
"M001036_A202011-101-xxx_NA_2029.5_TRUE_VAR5_ALK_Lysine. 5-hydroxy- (4TMS)","Lysine. 5-hydroxy-"
"M001037_A202012-101-xxx_NA_2024.62_TRUE_VAR5_ALK_Phenoxyacetic acid. 4-hydroxymethyl-3-methoxy- (2TMS)","Phenoxyacetic acid. 4-hydroxymethyl-3-methoxy-"
"M000000_A202014-101-xxx_NA_2021.65_TRUE_VAR5_ALK_NA_234_123_81","NA_234_123_81"
"M000000_A202015-101-xxx_NA_2018.94_PRED_VAR5_ALK_Octadecanal","Octadecanal"
"M000000_A202016-101-xxx_NA_2021.85_PRED_VAR5_ALK_Unknown#sst-cgl-091","Unknown#sst-cgl-091"
"M000985_A203001-101-xxx_NA_2024.13_TRUE_VAR5_ALK_Octopamine (4TMS)","Octopamine"
"M000482_A203002-101-xxx_NA_2029.67_TRUE_VAR5_ALK_Hexadecenoic acid. 9-(Z)- (1TMS)","Hexadecenoic acid. 9-(Z)-"
"M000000_A203003-101-xxx_NA_2014.18_PRED_VAR5_ALK_NA","NA"
"M000000_A203004-101-xxx_NA_2012.18_TRUE_VAR5_ALK_NA","NA"
"M000000_A203005-101-xxx_NA_2019.51_PRED_VAR5_ALK_NA","NA"
"M000747_A203007-101-xxx_NA_2057.85_PRED_VAR5_ALK_Heptadecan-1-ol. n- (1TMS)","Heptadecan-1-ol. n-"
"M000697_A203008-101-xxx_NA_2030.68_PRED_VAR5_ALK_Heptadecanoic acid methyl ester. n-","Heptadecanoic acid methyl ester. n-"
"M000000_A203009-101-xxx_NA_2015.94_PRED_VAR5_ALK_NA","NA"
"M000000_A203010-101-xxx_NA_2018.15_PRED_VAR5_ALK_NA","NA"
"M000324_A203011-101-xxx_NA_2025.92_TRUE_VAR5_ALK_Gallic acid propyl ester (3TMS)","Gallic acid propyl ester"
"M000693_A203012-101-xxx_NA_2028.58_PRED_VAR5_ALK_Chalcone methoxyamine (1MeOX)","Chalcone methoxyamine"
"M000000_A203013-101-xxx_NA_2030.29_PRED_VAR5_ALK_NA","NA"
"M999999_A203014-101-xxx_NA_2014.27_TRUE_VAR5_ALK_Ribose-5-phosphate. 2-deoxy- (1MEOX) (4TMS) MP","Ribose-5-phosphate. 2-deoxy-"
"M001201_A203017-101-xxx_NA_2034.5_TRUE_VAR5_ALK_Castanospermine (4TMS)","Castanospermine"
"M000000_A203018-101-xxx_NA_2038.08_TRUE_VAR5_ALK_NA","NA"
"M000000_A203019-101-xxx_NA_2028.89_PRED_VAR5_ALK_Hexadecenoic-acid_2_1TMS","Hexadecenoic-acid_2"
"M000594_A204001-101-xxx_NA_2030.47_TRUE_VAR5_ALK_Galactaric acid (6TMS)","Galactaric acid"
"M001038_A204002-101-xxx_NA_2041.84_TRUE_VAR5_ALK_Tyramine. 3-methoxy- (3TMS)","Tyramine. 3-methoxy-"
"M000028_A204003-101-xxx_NA_2031.16_TRUE_VAR5_ALK_Ornithine (5TMS)","Ornithine"
"M000000_A204004-101-xxx_NA_2034.64_PRED_VAR5_ALK_NA","NA"
"M000000_A204005-101-xxx_NA_2028.88_PRED_VAR5_ALK_NA","NA"
"M000211_A204006-101-xxx_NA_2041.8_TRUE_VAR5_ALK_Cinnamic acid. 3.4-dimethoxy-. trans- (1TMS)","Cinnamic acid. 3.4-dimethoxy-. trans-"
"M000212_A204007-101-xxx_NA_2039.63_TRUE_VAR5_ALK_Cinnamic acid. 3.5-dimethoxy-. trans- (1TMS)","Cinnamic acid. 3.5-dimethoxy-. trans-"
"M000000_A204012-101-xxx_NA_2038.13_PRED_VAR5_ALK_NA","NA"
"M000312_A204015-101-xxx_NA_2025.73_TRUE_VAR5_ALK_Gluconic acid. 2-amino-2-deoxy- (7TMS)","Gluconic acid. 2-amino-2-deoxy-"
"M000820_A204016-101-xxx_NA_2042.73_PRED_VAR5_ALK_Morpholine. 4-[3-[4-(1.1-dimethylethyl)phenyl]-2-methylpropyl]-2.6-dimethyl-","Morpholine. 4-[3-[4-(1.1-dimethylethyl)phenyl]-2-methylpropyl]-2.6-dimethyl-"
"M001133_A204017-101-xxx_NA_2048.73_TRUE_VAR5_ALK_Histidine. N-tau-methyl- (3TMS)","Histidine. N-tau-methyl-"
"M000000_A204019-101-xxx_NA_2048.62_TRUE_VAR5_ALK_NA_234_124_81","NA_234_124_81"
"M000000_A204020-101-xxx_NA_2043.08_TRUE_VAR5_ALK_D204282","D204282"
"M000000_A204021-101-xxx_NA_2037.43_PRED_VAR5_ALK_Myristic-acid-amide_1TMS","Myristic-acid-amide"
"M000483_A205001-101-xxx_NA_2046.19_TRUE_VAR5_ALK_Hexadecanoic acid (1TMS)","Hexadecanoic acid"
"M000257_A205002-101-xxx_NA_2043.85_TRUE_VAR5_ALK_Homoserine. O-succinyl- (3TMS)","Homoserine. O-succinyl-"
"M000000_A205003-101-xxx_NA_2043.43_PRED_VAR5_ALK_NA","NA"
"M000000_A205004-101-xxx_NA_2040.8_PRED_VAR5_ALK_NA","NA"
"M000000_A205005-101-xxx_NA_2044.98_PRED_VAR5_ALK_NA","NA"
"M000000_A205006-101-xxx_NA_2045.58_PRED_VAR5_ALK_NA","NA"
"M000000_A205007-101-xxx_NA_2049.71_PRED_VAR5_ALK_NA","NA"
"M001039_A205008-101-xxx_NA_2052.44_TRUE_VAR5_ALK_Cysteinyl-glycine (3TMS)","Cysteinyl-glycine"
"M001040_A205009-101-xxx_NA_2055.7_TRUE_VAR5_ALK_Indole-3-acetamide (3TMS)","Indole-3-acetamide"
"M001041_A205010-101-xxx_NA_2059.95_TRUE_VAR5_ALK_beta-D-Galactopyranoside. 1-isopropyl-. 1-thio- (4TMS)","beta-D-Galactopyranoside. 1-isopropyl-. 1-thio-"
"M000000_A205012-101-xxx_NA_2052.83_PRED_VAR5_ALK_Dihydroxyphenylalanine_3TMS","Dihydroxyphenylalanine"
"M000000_A205013-101-xxx_NA_2046.37_PRED_VAR5_ALK_Unknown#sst-cgl-092","Unknown#sst-cgl-092"
"M000000_A205014-101-xxx_NA_2045.77_PRED_VAR5_ALK_Unknown#sst-cgl-A15","Unknown#sst-cgl-A15"
"M000000_A206001-101-xxx_NA_2054.71_PRED_VAR5_ALK_NA","NA"
"M000000_A206002-101-xxx_NA_2055.9_PRED_VAR5_ALK_NA","NA"
"M000000_A206004-101-xxx_NA_2046.56_PRED_VAR5_ALK_NA","NA"
"M000184_A206005-101-xxx_NA_2061.22_TRUE_VAR5_ALK_Indole-3-acetaldehyde enol (2TMS) BP","Indole-3-acetaldehyde enol"
"M000000_A206006-101-xxx_NA_2057.25_PRED_VAR5_ALK_NA","NA"
"M001042_A206008-101-xxx_NA_2064.41_TRUE_VAR5_ALK_Glucosamine. N-acetyl- (1MEOX) (5TMS) MP","Glucosamine. N-acetyl-"
"M001043_A206009-101-xxx_NA_2067.01_TRUE_VAR5_ALK_Scopoletin (1TMS)","Scopoletin"
"M001044_A206010-101-xxx_NA_2064.31_TRUE_VAR5_ALK_Galactosamine. N-acetyl- (1MEOX) (5TMS) MP","Galactosamine. N-acetyl-"
"M001036_A206011-101-xxx_NA_2065.51_TRUE_VAR5_ALK_Lysine. 5-hydroxy- (5TMS)","Lysine. 5-hydroxy-"
"M000000_A206013-101-xxx_NA_2063.05_PRED_VAR5_ALK_N-Acetylglucosamine_1_1MeOX_4TMS","N-Acetylglucosamine_14TMS"
"M000000_A206014-101-xxx_NA_2055.72_PRED_VAR5_ALK_Unknown#sst-cgl-093","Unknown#sst-cgl-093"
"M000648_A207001-101-xxx_NA_2059.75_TRUE_VAR5_ALK_Sinapic acid. cis- (2TMS)","Sinapic acid. cis-"
"M000000_A207002-101-xxx_NA_2064.73_PRED_VAR5_ALK_NA","NA"
"M000000_A207003-101-xxx_NA_2063.42_PRED_VAR5_ALK_NA","NA"
"M000184_A207005-101-xxx_NA_2067.64_TRUE_VAR5_ALK_Indole-3-acetaldehyde acetal (3TMS)","Indole-3-acetaldehyde acetal"
"M000000_A207006-101-xxx_NA_2061.88_PRED_VAR5_ALK_NA","NA"
"M000000_A207007-101-xxx_NA_2061.98_PRED_VAR5_ALK_NA","NA"
"M000000_A207008-101-xxx_NA_2070.23_PRED_VAR5_ALK_NA","NA"
"M001044_A207009-101-xxx_NA_2077.23_TRUE_VAR5_ALK_Galactosamine. N-acetyl- (1MEOX) (5TMS) BP","Galactosamine. N-acetyl-"
"M001137_A207010-101-xxx_NA_2076.45_TRUE_VAR5_ALK_Kynurenic acid (2TMS)","Kynurenic acid"
"M001028_A207011-101-xxx_NA_2078.19_TRUE_VAR5_ALK_Mannosamine. N-acetyl- (1MEOX) (5TMS) MP","Mannosamine. N-acetyl-"
"M001042_A207012-101-xxx_NA_2072.25_TRUE_VAR5_ALK_Glucosamine. N-acetyl- (1MEOX) (4TMS)","Glucosamine. N-acetyl-"
"M001042_A207013-101-xxx_NA_2075.11_TRUE_VAR5_ALK_Glucosamine. N-acetyl- (1MEOX) (5TMS) BP","Glucosamine. N-acetyl-"
"M001027_A207014-101-xxx_NA_2076.97_TRUE_VAR5_ALK_Hippuric acid. 2-hydroxy- (2TMS)","Hippuric acid. 2-hydroxy-"
"M000000_A207015-101-xxx_NA_2070.29_PRED_VAR5_ALK_Gamma-Glutamylvaline_4TMS","Gamma-Glutamylvaline"
"M001229_A207017-101-xxx_NA_2076.97_TRUE_VAR5_ALK_Glycylglycylglycine [-H2O] (3TMS)","Glycylglycylglycine"
"M001139_A208001-101-xxx_NA_2076.82_TRUE_VAR5_ALK_Dopamine (4TMS)","Dopamine"
"M001028_A208003-101-xxx_NA_2067.98_TRUE_VAR5_ALK_Mannosamine. N-acetyl- (1MEOX) (4TMS)","Mannosamine. N-acetyl-"
"M000000_A208005-101-xxx_NA_2073.95_PRED_VAR5_ALK_NA","NA"
"M000000_A208008-101-xxx_NA_2076.67_PRED_VAR5_ALK_NA","NA"
"M000000_A208009-101-xxx_NA_2078.68_PRED_VAR5_ALK_NA","NA"
"M001045_A208010-101-xxx_NA_2089.56_TRUE_VAR5_ALK_Lipoamide. alpha- (2TMS)","Lipoamide. alpha-"
"M000000_A208011-101-xxx_NA_2085.69_TRUE_VAR5_ALK_D208496","D208496"
"M000000_A208012-101-xxx_NA_2081.56_PRED_VAR5_ALK_N-Acetylmannosamine_2_1MeOX_4TMS","N-Acetylmannosamine_24TMS"
"M000000_A208013-101-xxx_NA_2083.21_PRED_VAR5_ALK_Pyridoxamine_4TMS","Pyridoxamine"
"M000092_A209001-101-xxx_NA_2068.66_PRED_VAR5_ALK_Allantoin (3TMS)","Allantoin"
"M000060_A209002-101-xxx_NA_2080.23_TRUE_VAR5_ALK_Inositol. myo- (6TMS)","Inositol. myo-"
"M000129_A209003-101-xxx_NA_2075.73_TRUE_VAR5_ALK_Prephenic acid (1MEOX) (3TMS)","Prephenic acid"
"M000000_A209004-101-xxx_NA_2078.56_PRED_VAR5_ALK_NA","NA"
"M000226_A209005-101-xxx_NA_2083.69_PRED_VAR5_ALK_Sinapyl alcohol. trans- (2TMS)","Sinapyl alcohol. trans-"
"M000184_A209006-101-xxx_NA_2079.28_PRED_VAR5_ALK_NA","NA"
"M000547_A209007-101-xxx_NA_2089.82_TRUE_VAR5_ALK_Levodopa (4TMS)","Levodopa"
"M000000_A209012-101-xxx_NA_2089.04_PRED_VAR5_ALK_NA","NA"
"M000129_A209013-101-xxx_NA_2066.59_PRED_VAR5_ALK_Prephenic acid (1MEOX) (3TMS) (Derivate not found)","Prephenic acid"
"M001006_A209014-101-xxx_NA_2097.31_TRUE_VAR5_ALK_Histidinol (4TMS)","Histidinol"
"M001206_A209015-101-xxx_NA_2098.65_TRUE_VAR5_ALK_Taurine. N-tri(hydroxymethyl)methyl- (4TMS)","Taurine. N-tri(hydroxymethyl)methyl-"
"M001046_A209016-101-xxx_NA_2092.03_TRUE_VAR5_ALK_Tyrosine. N-acetyl- (3TMS)","Tyrosine. N-acetyl-"
"M001044_A209017-101-xxx_NA_2092.21_TRUE_VAR5_ALK_Galactosamine. N-acetyl- (1MEOX) (4TMS)","Galactosamine. N-acetyl-"
"M001028_A209018-101-xxx_NA_2094.51_TRUE_VAR5_ALK_Mannosamine. N-acetyl- (1MEOX) (5TMS) BP","Mannosamine. N-acetyl-"
"M000000_A209020-101-xxx_NA_2099.56_TRUE_VAR5_ALK_NA209020","NA209020"
"M000000_A209021-101-xxx_NA_2091.58_PRED_VAR5_ALK_Unknown#sst-cgl-094","Unknown#sst-cgl-094"
"M000009_A210001-101-xxx_NA_2097.85_TRUE_VAR5_ALK_Ferulic acid. trans- (2TMS)","Ferulic acid. trans-"
"M000000_A210003-101-xxx_NA_2090.85_PRED_VAR5_ALK_NA","NA"
"M000000_A210004-101-xxx_NA_2089.04_PRED_VAR5_ALK_NA","NA"
"M000000_A210005-101-xxx_NA_2095.89_PRED_VAR5_ALK_NA","NA"
"M000000_A210006-101-xxx_NA_2093.9_PRED_VAR5_ALK_NA","NA"
"M000000_A210007-101-xxx_NA_2092.86_PRED_VAR5_ALK_NA","NA"
"M000000_A210008-101-xxx_NA_2098.19_PRED_VAR5_ALK_NA","NA"
"M000758_A210010-101-xxx_NA_2089.16_PRED_VAR5_ALK_Octadecadienoic acid methyl ester. 9.12-(Z.Z)-. n-","Octadecadienoic acid methyl ester. 9.12-(Z.Z)-. n-"
"M000548_A210012-101-xxx_NA_2102.8_PRED_VAR5_ALK_Heneicosane. n-","Heneicosane. n-"
"M000350_A210013-101-xxx_NA_2105.62_TRUE_VAR5_ALK_Citrulline (3TMS)","Citrulline"
"M000260_A210014-101-xxx_NA_2107.95_TRUE_VAR5_ALK_Homoserine lactone. N-decanoyl- (1TMS)","Homoserine lactone. N-decanoyl-"
"M000000_A210017-101-xxx_NA_2099.68_PRED_VAR5_ALK_Dihydroxyphenylalanine_4TMS","Dihydroxyphenylalanine"
"M000000_A210018-101-xxx_NA_2095.7_PRED_VAR5_ALK_Unknown#sst-cgl-095","Unknown#sst-cgl-095"
"M000000_A211001-101-xxx_NA_2098.3_PRED_VAR5_ALK_NA211001","NA211001"
"M000804_A211002-101-xxx_NA_2109.79_TRUE_VAR5_ALK_Normetadrenaline (4TMS)","Normetadrenaline"
"M000467_A211003-101-xxx_NA_2097.87_TRUE_VAR5_ALK_Ribose-5-phosphate (1 MEOX) (5TMS) BP","Ribose-5-phosphate"
"M000467_A211004-101-xxx_NA_2092.13_TRUE_VAR5_ALK_Ribose-5-phosphate (1 MEOX) (5TMS) MP","Ribose-5-phosphate"
"M000000_A211005-101-xxx_NA_2104.56_PRED_VAR5_ALK_NA","NA"
"M000699_A211006-101-xxx_NA_2094.62_TRUE_VAR5_ALK_Uric acid (4TMS)","Uric acid"
"M000000_A211007-101-xxx_NA_2102.03_PRED_VAR5_ALK_NA","NA"
"M000870_A211012-101-xxx_NA_2114.2_PRED_VAR5_ALK_Siloxane","Siloxane"
"M000207_A211013-101-xxx_NA_2109.63_TRUE_VAR5_ALK_Glycine. N-cinnamoyl-. trans- (2TMS)","Glycine. N-cinnamoyl-. trans-"
"M000756_A211014-101-xxx_NA_2094.75_PRED_VAR5_ALK_Octadecenoic acid methyl ester. 9-(Z)-. n-","Octadecenoic acid methyl ester. 9-(Z)-. n-"
"M000769_A211015-101-xxx_NA_2087.72_TRUE_VAR5_ALK_Ribulose-5-phosphate (1MEOX) (5TMS) BP","Ribulose-5-phosphate"
"M000770_A211016-101-xxx_NA_2098.45_PRED_VAR5_ALK_Xylulose-5-phosphate (1MEOX) (5TMS) MP","Xylulose-5-phosphate"
"M000757_A211017-101-xxx_NA_2102.34_PRED_VAR5_ALK_Octadecenoic acid methyl ester. 9-(E)-. n-","Octadecenoic acid methyl ester. 9-(E)-. n-"
"M001040_A211019-101-xxx_NA_2116.25_TRUE_VAR5_ALK_Indole-3-acetamide (2TMS)","Indole-3-acetamide"
"M000000_A211020-101-xxx_NA_2106.54_PRED_VAR5_ALK_Gamma-Glutamylleucine_4TMS","Gamma-Glutamylleucine"
"M000000_A212001-101-xxx_NA_2106.37_PRED_VAR5_ALK_NA","NA"
"M000223_A212002-101-xxx_NA_2112.03_TRUE_VAR5_ALK_Cinnamaldehyde. 3.5-dimethoxy-4-hydroxy-. trans- (1MEOX) (1TMS) MP","Cinnamaldehyde. 3.5-dimethoxy-4-hydroxy-. trans-"
"M000000_A212003-101-xxx_NA_2108.26_PRED_VAR5_ALK_NA","NA"
"M000000_A212004-101-xxx_NA_2107_PRED_VAR5_ALK_NA","NA"
"M000700_A212005-101-xxx_NA_2111.35_TRUE_VAR5_ALK_Glucoheptose (1MEOX) (6TMS) MP","Glucoheptose"
"M000870_A212009-101-xxx_NA_2117.48_PRED_VAR5_ALK_Siloxane","Siloxane"
"M000716_A212010-101-xxx_NA_2120.01_PRED_VAR5_ALK_Octadecatrienoic acid methylester. 9.12.15-(Z.Z.Z)-. n-","Octadecatrienoic acid methylester. 9.12.15-(Z.Z.Z)-. n-"
"M000770_A212011-101-xxx_NA_2111.23_PRED_VAR5_ALK_Xylulose-5-phosphate (1MEOX) (5TMS) BP","Xylulose-5-phosphate"
"M000769_A212012-101-xxx_NA_2102.51_TRUE_VAR5_ALK_Ribulose-5-phosphate (1MEOX) (5TMS) MP","Ribulose-5-phosphate"
"M000703_A212013-101-xxx_NA_1920.5_TRUE_VAR5_ALK_Sedoheptulose. 2.7-anhydro-. beta- (4TMS)","Sedoheptulose. 2.7-anhydro-. beta-"
"M001047_A212014-101-xxx_NA_2125.32_TRUE_VAR5_ALK_Fluoranthene","Fluoranthene"
"M000000_A212017-101-xxx_NA_2124.25_TRUE_VAR5_ALK_NA","NA"
"M000000_A212018-101-xxx_NA_2114.68_PRED_VAR5_ALK_2-Hydroxyhexadecanoic_acid_1MeO_1TMS","2-Hydroxyhexadecanoic_acid"
"M000000_A213001-101-xxx_NA_2121.34_PRED_VAR5_ALK_NA213001","NA213001"
