"","Query","Match","HMDB","PubChem","ChEBI","KEGG","METLIN","SMILES","Comment"
"1437","N-Acetylmannosamine_24TMS","NA","NA","NA","NA","NA","NA","NA","0"
"1438","Pyridoxamine","Pyridoxamine","HMDB0001431","1052","16410","C00534","238","CC1=NC=C(C(=C1O)CN)CO","1"
"1439","Allantoin","Allantoin","HMDB0000462","204","15676","C01551","89","C1(C(=O)NC(=O)N1)NC(=O)N","1"
"1440","Inositol. myo-","NA","NA","NA","NA","NA","NA","NA","0"
"1441","Prephenic acid","Prephenate","HMDB0012283","1028","16666","C00254",NA,"C1=CC(C=CC1O)(CC(=O)C(=O)O)C(=O)O","1"
"1442","NA","NA","NA","NA","NA","NA","NA","NA","0"
"1443","Sinapyl alcohol. trans-","NA","NA","NA","NA","NA","NA","NA","0"
"1444","NA","NA","NA","NA","NA","NA","NA","NA","0"
"1445","Levodopa","L-Dopa","HMDB0000181","6047","15765","C00355","42","C1=CC(=C(C=C1C[C@@H](C(=O)O)N)O)O","1"
"1446","NA","NA","NA","NA","NA","NA","NA","NA","0"
"1447","Prephenic acid","Prephenate","HMDB0012283","1028","16666","C00254",NA,"C1=CC(C=CC1O)(CC(=O)C(=O)O)C(=O)O","1"
"1448","Histidinol","L-Histidinol","HMDB0003431","165271","16255","C00860","3267","C1=C(NC=N1)C[C@@H](CO)N","1"
"1449","Taurine. N-tri(hydroxymethyl)methyl-","NA","NA","NA","NA","NA","NA","NA","0"
"1450","Tyrosine. N-acetyl-","NA","NA","NA","NA","NA","NA","NA","0"
"1451","Galactosamine. N-acetyl-","NA","NA","NA","NA","NA","NA","NA","0"
"1452","Mannosamine. N-acetyl-","NA","NA","NA","NA","NA","NA","NA","0"
"1453","NA209020","NA","NA","NA","NA","NA","NA","NA","0"
"1454","Unknown#sst-cgl-094","NA","NA","NA","NA","NA","NA","NA","0"
"1455","Ferulic acid. trans-","NA","NA","NA","NA","NA","NA","NA","0"
"1456","NA","NA","NA","NA","NA","NA","NA","NA","0"
"1457","NA","NA","NA","NA","NA","NA","NA","NA","0"
"1458","NA","NA","NA","NA","NA","NA","NA","NA","0"
"1459","NA","NA","NA","NA","NA","NA","NA","NA","0"
"1460","NA","NA","NA","NA","NA","NA","NA","NA","0"
"1461","NA","NA","NA","NA","NA","NA","NA","NA","0"
"1462","Octadecadienoic acid methyl ester. 9.12-(Z.Z)-. n-","NA","NA","NA","NA","NA","NA","NA","0"
"1463","Heneicosane. n-","NA","NA","NA","NA","NA","NA","NA","0"
"1464","Citrulline","Citrulline","HMDB0000904","9750","16349","C00327","16","C(C[C@@H](C(=O)O)N)CNC(=O)N","1"
"1465","Homoserine lactone. N-decanoyl-","NA","NA","NA","NA","NA","NA","NA","0"
"1466","Dihydroxyphenylalanine","L-Dopa","HMDB0000181","6047","15765","C00355","42","C1=CC(=C(C=C1C[C@@H](C(=O)O)N)O)O","1"
"1467","Unknown#sst-cgl-095","NA","NA","NA","NA","NA","NA","NA","0"
"1468","NA211001","NA","NA","NA","NA","NA","NA","NA","0"
"1469","Normetadrenaline","Normetanephrine","HMDB0000819","1237","144308","C05589","66","COC1=C(C=CC(=C1)C(CN)O)O","1"
"1470","Ribose-5-phosphate","D-Ribose 5-phosphate","HMDB0001548","439167","52742","C00117","6315","C([C@@H]1[C@H]([C@H](C(O1)O)O)O)OP(=O)(O)O","1"
"1471","Ribose-5-phosphate","D-Ribose 5-phosphate","HMDB0001548","439167","52742","C00117","6315","C([C@@H]1[C@H]([C@H](C(O1)O)O)O)OP(=O)(O)O","1"
"1472","NA","NA","NA","NA","NA","NA","NA","NA","0"
"1473","Uric acid","Uric acid","HMDB0000289","1175","17775","C00366","88","C12=C(NC(=O)N1)NC(=O)NC2=O","1"
"1474","NA","NA","NA","NA","NA","NA","NA","NA","0"
"1475","Siloxane","NA","NA","NA","NA","NA","NA","NA","0"
"1476","Glycine. N-cinnamoyl-. trans-","NA","NA","NA","NA","NA","NA","NA","0"
"1477","Octadecenoic acid methyl ester. 9-(Z)-. n-","NA","NA","NA","NA","NA","NA","NA","0"
"1478","Ribulose-5-phosphate","NA","NA","NA","NA","NA","NA","NA","0"
"1479","Xylulose-5-phosphate","Xylulose 5-phosphate","HMDB0000868","439190","16332","C00231","5829","C([C@H]([C@@H](C(=O)CO)O)O)OP(=O)(O)O","1"
"1480","Octadecenoic acid methyl ester. 9-(E)-. n-","NA","NA","NA","NA","NA","NA","NA","0"
"1481","Indole-3-acetamide","1H-Indole-3-acetamide","HMDB0029739","397","16031","C02693",NA,"C1=CC=C2C(=C1)C(=CN2)CC(=O)N","1"
"1482","Gamma-Glutamylleucine","gamma-Glutamylleucine","HMDB0011171","151023","68433","",NA,"CC(C)C[C@@H](C(=O)O)NC(=O)CC[C@@H](C(=O)O)N","1"
"1483","NA","NA","NA","NA","NA","NA","NA","NA","0"
"1484","Cinnamaldehyde. 3.5-dimethoxy-4-hydroxy-. trans-","NA","NA","NA","NA","NA","NA","NA","0"
"1485","NA","NA","NA","NA","NA","NA","NA","NA","0"
"1486","NA","NA","NA","NA","NA","NA","NA","NA","0"
"1487","Glucoheptose","NA","NA","NA","NA","NA","NA","NA","0"
"1488","Siloxane","NA","NA","NA","NA","NA","NA","NA","0"
"1489","Octadecatrienoic acid methylester. 9.12.15-(Z.Z.Z)-. n-","NA","NA","NA","NA","NA","NA","NA","0"
"1490","Xylulose-5-phosphate","Xylulose 5-phosphate","HMDB0000868","439190","16332","C00231","5829","C([C@H]([C@@H](C(=O)CO)O)O)OP(=O)(O)O","1"
"1491","Ribulose-5-phosphate","NA","NA","NA","NA","NA","NA","NA","0"
"1492","Sedoheptulose. 2.7-anhydro-. beta-","NA","NA","NA","NA","NA","NA","NA","0"
"1493","Fluoranthene","NA","NA","NA","NA","NA","NA","NA","0"
"1494","NA","NA","NA","NA","NA","NA","NA","NA","0"
"1495","2-Hydroxyhexadecanoic_acid","NA","NA","NA","NA","NA","NA","NA","0"
"1496","NA213001","NA","NA","NA","NA","NA","NA","NA","0"
"1497","Cystathionine","L-Cystathionine","HMDB0000099","439258","17482","C02291","39","C(CSC[C@@H](C(=O)O)N)[C@@H](C(=O)O)N","1"
"1498","NA","NA","NA","NA","NA","NA","NA","NA","0"
"1499","Octadecanoic acid methyl ester","NA","NA","NA","NA","NA","NA","NA","0"
"1500","Calystegine B2","NA","NA","NA","NA","NA","NA","NA","0"
"1501","NA","NA","NA","NA","NA","NA","NA","NA","0"
"1502","Octadecen-1-ol. 9-(Z)-","NA","NA","NA","NA","NA","NA","NA","0"
"1503","Calystegine B4","NA","NA","NA","NA","NA","NA","NA","0"
"1504","Flavone. 2.3-dihydro-","NA","NA","NA","NA","NA","NA","NA","0"
"1505","Phytol","Phytol","HMDB0002019","5280435","17327","C01389","391","C[C@@H](CCC[C@@H](C)CCC/C(=C/CO)/C)CCCC(C)C","1"
"1506","Kynurenine","L-Kynurenine","HMDB0000684","161166","16946","C00328","72","C1=CC=C(C(=C1)C(=O)C[C@@H](C(=O)O)N)N","1"
"1507","Tyrosine. N-acetyl-","NA","NA","NA","NA","NA","NA","NA","0"
"1508","4-Hydroxy-2-methylquinoline","NA","NA","NA","NA","NA","NA","NA","0"
"1509","Gamma-Glutamylvaline","gamma-Glutamylvaline","HMDB0011172","7015683","68848","",NA,"CC(C)[C@@H](C(=O)O)NC(=O)CC[C@@H](C(=O)O)N","1"
"1510","Caffeic acid. trans-","NA","NA","NA","NA","NA","NA","NA","0"
"1511","Guanine","Guanine","HMDB0000132","764","16235","C00242","315","C1=NC2=C(N1)C(=O)N=C(N2)N","1"
"1512","NA","NA","NA","NA","NA","NA","NA","NA","0"
"1513","NA","NA","NA","NA","NA","NA","NA","NA","0"
"1514","Heptadecanoic acid","Heptadecanoic acid","HMDB0002259","10465","32365","","6578","CCCCCCCCCCCCCCCCC(=O)O","1"
"1515","NA","NA","NA","NA","NA","NA","NA","NA","0"
"1516","Glucoheptose","NA","NA","NA","NA","NA","NA","NA","0"
"1517","NA","NA","NA","NA","NA","NA","NA","NA","0"
"1518","NA","NA","NA","NA","NA","NA","NA","NA","0"
"1519","similar to Histidine","NA","NA","NA","NA","NA","NA","NA","0"
"1520","Uric acid","Uric acid","HMDB0000289","1175","17775","C00366","88","C12=C(NC(=O)N1)NC(=O)NC2=O","1"
"1521","Octane. 1.8-diamino-","NA","NA","NA","NA","NA","NA","NA","0"
"1522","Indole-3-pyruvic acid","NA","NA","NA","NA","NA","NA","NA","0"
"1523","Malic acid. 3-oxalo-","NA","NA","NA","NA","NA","NA","NA","0"
"1524","Xylose-1-phosphoric-acid","NA","NA","NA","NA","NA","NA","NA","0"
"1525","Octadecan-1-ol. n-","NA","NA","NA","NA","NA","NA","NA","0"
"1526","Calystegine B2","NA","NA","NA","NA","NA","NA","NA","0"
"1527","Histidine","L-Histidine","HMDB0000177","6274","15971","C00135","21","C1=C(NC=N1)C[C@@H](C(=O)O)N","1"
"1528","Cinnamic acid. 4-amino-. trans-","NA","NA","NA","NA","NA","NA","NA","0"
"1529","Indole-3-lactic acid","Indolelactic acid","HMDB0000671","92904","24813","C02043","5641","C1=CC=C2C(=C1)C(=CN2)CC(C(=O)O)O","1"
"1530","Leucyl-glycyl-glycine","NA","NA","NA","NA","NA","NA","NA","0"
"1531","D215058","NA","NA","NA","NA","NA","NA","NA","0"
"1532","Noradrenaline","Norepinephrine","HMDB0000216","439260","18357","C00547","5226","C1=CC(=C(C=C1[C@H](CN)O)O)O","1"
"1533","NA","NA","NA","NA","NA","NA","NA","NA","0"
"1534","NA","NA","NA","NA","NA","NA","NA","NA","0"
"1535","NA","NA","NA","NA","NA","NA","NA","NA","0"
"1536","NA","NA","NA","NA","NA","NA","NA","NA","0"
"1537","NA","NA","NA","NA","NA","NA","NA","NA","0"
"1538","Indole-3-butanoic acid. 1H-","NA","NA","NA","NA","NA","NA","NA","0"
"1539","NA","NA","NA","NA","NA","NA","NA","NA","0"
"1540","Tryptamine. 1-methyl-","NA","NA","NA","NA","NA","NA","NA","0"
"1541","Kynurenine","L-Kynurenine","HMDB0000684","161166","16946","C00328","72","C1=CC=C(C(=C1)C(=O)C[C@@H](C(=O)O)N)N","1"
"1542","Octanoic acid. 3-hydroxy-","NA","NA","NA","NA","NA","NA","NA","0"
"1543","Mannose-1-phosphoric-acid","NA","NA","NA","NA","NA","NA","NA","0"
"1544","Cystathionine","L-Cystathionine","HMDB0000099","439258","17482","C02291","39","C(CSC[C@@H](C(=O)O)N)[C@@H](C(=O)O)N","1"
"1545","NA","NA","NA","NA","NA","NA","NA","NA","0"
"1546","Phytol","Phytol","HMDB0002019","5280435","17327","C01389","391","C[C@@H](CCC[C@@H](C)CCC/C(=C/CO)/C)CCCC(C)C","1"
"1547","NA","NA","NA","NA","NA","NA","NA","NA","0"
"1548","Calystegine B2","NA","NA","NA","NA","NA","NA","NA","0"
"1549","NA","NA","NA","NA","NA","NA","NA","NA","0"
"1550","NA","NA","NA","NA","NA","NA","NA","NA","0"
"1551","NA","NA","NA","NA","NA","NA","NA","NA","0"
"1552","NA","NA","NA","NA","NA","NA","NA","NA","0"
"1553","Tryptophan","L-Tryptophan","HMDB0000929","6305","16828","C00078","5879","C1=CC=C2C(=C1)C(=CN2)C[C@@H](C(=O)O)N","1"
"1554","3-Indoleacetic acid. 5-methoxy-","NA","NA","NA","NA","NA","NA","NA","0"
"1555","Tryptamine. 5-methoxy-","NA","NA","NA","NA","NA","NA","NA","0"
"1556","Indole-3-lactic acid","Indolelactic acid","HMDB0000671","92904","24813","C02043","5641","C1=CC=C2C(=C1)C(=CN2)CC(C(=O)O)O","1"
"1557","Glyceric acid-2.3-diphosphate","NA","NA","NA","NA","NA","NA","NA","0"
"1558","Homoserine lactone. N-decanoyl-","NA","NA","NA","NA","NA","NA","NA","0"
"1559","Fructose-1-phosphate","Fructose 1-phosphate","HMDB0001076","10400369","704854","C01094","378","C([C@@H]1[C@H]([C@@H]([C@](O1)(COP(=O)(O)O)O)O)O)O","1"
"1560","Radicamine B","NA","NA","NA","NA","NA","NA","NA","0"
"1561","Palmitic-acid-amide","NA","NA","NA","NA","NA","NA","NA","0"
"1562","Gamma-Glutamylvaline","gamma-Glutamylvaline","HMDB0011172","7015683","68848","",NA,"CC(C)[C@@H](C(=O)O)NC(=O)CC[C@@H](C(=O)O)N","1"
"1563","NA","NA","NA","NA","NA","NA","NA","NA","0"
"1564","Glycerophosphoglycerol","NA","NA","NA","NA","NA","NA","NA","0"
"1565","NA","NA","NA","NA","NA","NA","NA","NA","0"
"1566","NA","NA","NA","NA","NA","NA","NA","NA","0"
"1567","Indole-3-acetic acid. 5-hydroxy-. 1H-","NA","NA","NA","NA","NA","NA","NA","0"
"1568","Lipoamide. alpha-","NA","NA","NA","NA","NA","NA","NA","0"
"1569","Kynurenine","L-Kynurenine","HMDB0000684","161166","16946","C00328","72","C1=CC=C(C(=C1)C(=O)C[C@@H](C(=O)O)N)N","1"
"1570","2-Naphthoic acid. 1.4-dihydroxy","NA","NA","NA","NA","NA","NA","NA","0"
"1571","Gamma-Glutamylleucine","gamma-Glutamylleucine","HMDB0011171","151023","68433","",NA,"CC(C)C[C@@H](C(=O)O)NC(=O)CC[C@@H](C(=O)O)N","1"
"1572","NA","NA","NA","NA","NA","NA","NA","NA","0"
"1573","Glycine. N-cinnamoyl-. trans-","NA","NA","NA","NA","NA","NA","NA","0"
"1574","Indole-3-butanoic acid. 1H-","NA","NA","NA","NA","NA","NA","NA","0"
"1575","Tryptophan","L-Tryptophan","HMDB0000929","6305","16828","C00078","5879","C1=CC=C2C(=C1)C(=CN2)C[C@@H](C(=O)O)N","1"
"1576","Siloxane","NA","NA","NA","NA","NA","NA","NA","0"
"1577","Octadecatrienoic acid. 6.9.12-(Z.Z.Z)-. n-","NA","NA","NA","NA","NA","NA","NA","0"
"1578","Indole-3-pyruvic acid","NA","NA","NA","NA","NA","NA","NA","0"
"1579","Malic acid. 3-oxalo-","NA","NA","NA","NA","NA","NA","NA","0"
"1580","NA","NA","NA","NA","NA","NA","NA","NA","0"
"1581","Unknown#sst-cgl-101","NA","NA","NA","NA","NA","NA","NA","0"
"1582","Docosane. n-","NA","NA","NA","NA","NA","NA","NA","0"
"1583","Spermidine","Spermidine","HMDB0001257","1102","16610","C00315","254","C(CCNCCCN)CN","1"
"1584","NA","NA","NA","NA","NA","NA","NA","NA","0"
"1585","Hexadecanoic acid. 3-hydroxy-","NA","NA","NA","NA","NA","NA","NA","0"
"1586","Cystineamine","NA","NA","NA","NA","NA","NA","NA","0"
"1587","Unknown#sst-cgl-102","NA","NA","NA","NA","NA","NA","NA","0"
"1588","Cystathionine","L-Cystathionine","HMDB0000099","439258","17482","C02291","39","C(CSC[C@@H](C(=O)O)N)[C@@H](C(=O)O)N","1"
"1589","NA","NA","NA","NA","NA","NA","NA","NA","0"
"1590","Octadecadienoic acid. 9.12-(Z.Z)-","NA","NA","NA","NA","NA","NA","NA","0"
"1591","NA","NA","NA","NA","NA","NA","NA","NA","0"
"1592","Octadecanoic acid methyl ester. 9.10-(Z)-methylene-","NA","NA","NA","NA","NA","NA","NA","0"
"1593","Shikimic acid-3-phosphate","NA","NA","NA","NA","NA","NA","NA","0"
"1594","Octadecenoic acid. 6-(Z)-","NA","NA","NA","NA","NA","NA","NA","0"
"1595","Unknown#sst-cgl-103","NA","NA","NA","NA","NA","NA","NA","0"
"1596","Pseudoephedrine glycinamide","NA","NA","NA","NA","NA","NA","NA","0"
"1597","Octadecenoic acid. 9-(Z)-","NA","NA","NA","NA","NA","NA","NA","0"
"1598","Tryptamine","Tryptamine","HMDB0000303","1150","16765","C00398","325","C1=CC=C2C(=C1)C(=CN2)CCN","1"
"1599","Octadecatrienoic acid. 9.12.15-(Z.Z.Z)-. n-","NA","NA","NA","NA","NA","NA","NA","0"
"1600","Octadecadienoic acid. n-","NA","NA","NA","NA","NA","NA","NA","0"
"1601","Tryptamine","Tryptamine","HMDB0000303","1150","16765","C00398","325","C1=CC=C2C(=C1)C(=CN2)CCN","1"
"1602","D222462","NA","NA","NA","NA","NA","NA","NA","0"
"1603","Gamma-Glutamylleucine","gamma-Glutamylleucine","HMDB0011171","151023","68433","",NA,"CC(C)C[C@@H](C(=O)O)NC(=O)CC[C@@H](C(=O)O)N","1"
"1604","Unknown#sst-cgl-104","NA","NA","NA","NA","NA","NA","NA","0"
"1605","Tryptophan","L-Tryptophan","HMDB0000929","6305","16828","C00078","5879","C1=CC=C2C(=C1)C(=CN2)C[C@@H](C(=O)O)N","1"
"1606","Tryptophan","L-Tryptophan","HMDB0000929","6305","16828","C00078","5879","C1=CC=C2C(=C1)C(=CN2)C[C@@H](C(=O)O)N","1"
"1607","Octadecenoic acid. 9-(E)-","NA","NA","NA","NA","NA","NA","NA","0"
"1608","Nonadecanoic acid methyl ester","NA","NA","NA","NA","NA","NA","NA","0"
"1609","NA","NA","NA","NA","NA","NA","NA","NA","0"
"1610","Octadecadienoic acid. n-","NA","NA","NA","NA","NA","NA","NA","0"
"1611","Octadecatrienoic acid. n-","NA","NA","NA","NA","NA","NA","NA","0"
"1612","Octadecatrienoic acid. n-","NA","NA","NA","NA","NA","NA","NA","0"
"1613","Biotin. dethio-","NA","NA","NA","NA","NA","NA","NA","0"
"1614","Tyrosine. 3-iodo-","NA","NA","NA","NA","NA","NA","NA","0"
"1615","D223156","NA","NA","NA","NA","NA","NA","NA","0"
"1616","NA","NA","NA","NA","NA","NA","NA","NA","0"
"1617","NA","NA","NA","NA","NA","NA","NA","NA","0"
"1618","NA","NA","NA","NA","NA","NA","NA","NA","0"
"1619","Mannose-1-phosphate","NA","NA","NA","NA","NA","NA","NA","0"
"1620","Tyrosine. 3-nitro-","NA","NA","NA","NA","NA","NA","NA","0"
"1621","Tyrosine. 3-iodo-","NA","NA","NA","NA","NA","NA","NA","0"
"1622","Palmitic-acid-amide","NA","NA","NA","NA","NA","NA","NA","0"
"1623","Unknown#sst-cgl-107","NA","NA","NA","NA","NA","NA","NA","0"
"1624","Glycylglycylglycine","Glycylglycylglycine","HMDB0029419","11161","63961","",NA,"C(C(=O)NCC(=O)NCC(=O)O)N","1"
"1625","Sinapic acid. trans-","NA","NA","NA","NA","NA","NA","NA","0"
"1626","Octadecanoic acid","Stearic acid","HMDB0000827","5281","28842","C01530","189","CCCCCCCCCCCCCCCCCC(=O)O","1"
"1627","NA","NA","NA","NA","NA","NA","NA","NA","0"
"1628","NA","NA","NA","NA","NA","NA","NA","NA","0"
"1629","Glucoheptonic acid","Calcium Gluceptate","HMDB0014471","62859","3314","",NA,"C([C@H]([C@H]([C@@H]([C@H](C(C(=O)[O-])O)O)O)O)O)O.C([C@H]([C@H]([C@@H]([C@H](C(C(=O)[O-])O)O)O)O)O)O.[Ca+2]","1"
"1630","NA","NA","NA","NA","NA","NA","NA","NA","0"
"1631","Siloxane","NA","NA","NA","NA","NA","NA","NA","0"
"1632","Glucoheptonic acid-1.4-lactone","NA","NA","NA","NA","NA","NA","NA","0"
"1633","Unknown#sst-cgl-108","NA","NA","NA","NA","NA","NA","NA","0"
"1634","Unknown#sst-cgl-109","NA","NA","NA","NA","NA","NA","NA","0"
"1635","NA","NA","NA","NA","NA","NA","NA","NA","0"
"1636","Spermidine","Spermidine","HMDB0001257","1102","16610","C00315","254","C(CCNCCCN)CN","1"
"1637","NA","NA","NA","NA","NA","NA","NA","NA","0"
"1638","NA","NA","NA","NA","NA","NA","NA","NA","0"
"1639","NA","NA","NA","NA","NA","NA","NA","NA","0"
"1640","NA","NA","NA","NA","NA","NA","NA","NA","0"
"1641","Glycyl-phenylalanine","Glycyl-Phenylalanine","HMDB0028848",NA,NA,"",NA,"NCC(=O)NC(CC1=CC=CC=C1)C(O)=O","1"
"1642","Quinoline-2-carboxylic acid. 4.8-dihydroxy-","NA","NA","NA","NA","NA","NA","NA","0"
"1643","Muramic acid. N-acetyl-","NA","NA","NA","NA","NA","NA","NA","0"
"1644","Radicamine A","NA","NA","NA","NA","NA","NA","NA","0"
"1645","D226501","NA","NA","NA","NA","NA","NA","NA","0"
"1646","Unknown#sst-cgl-A16","NA","NA","NA","NA","NA","NA","NA","0"
"1647","NA","NA","NA","NA","NA","NA","NA","NA","0"
"1648","Octadecadienoic acid. n-","NA","NA","NA","NA","NA","NA","NA","0"
"1649","Muramic acid. N-acetyl-","NA","NA","NA","NA","NA","NA","NA","0"
"1650","Muramic acid. N-acetyl-","NA","NA","NA","NA","NA","NA","NA","0"
"1651","Flavone","Flavone","HMDB0003075","10680","42491","C10043","3359","C1=CC=C(C=C1)C2=CC(=O)C3=CC=CC=C3O2","1"
"1652","NA227008","NA","NA","NA","NA","NA","NA","NA","0"
"1653","D227284","NA","NA","NA","NA","NA","NA","NA","0"
"1654","Unknown#sst-cgl-110","NA","NA","NA","NA","NA","NA","NA","0"
"1655","NA","NA","NA","NA","NA","NA","NA","NA","0"
"1656","NA","NA","NA","NA","NA","NA","NA","NA","0"
"1657","Abscisic acid","(S)-Abscisic acid","HMDB0035140","5702609","18743","C06082",NA,"CC1=CC(=O)CC([C@]1(/C=C/C(=C/C(=O)O)/C)O)(C)C","1"
"1658","Abscisic acid","(S)-Abscisic acid","HMDB0035140","5702609","18743","C06082",NA,"CC1=CC(=O)CC([C@]1(/C=C/C(=C/C(=O)O)/C)O)(C)C","1"
"1659","NA","NA","NA","NA","NA","NA","NA","NA","0"
"1660","Tetradecane-1.14-dioic acid","NA","NA","NA","NA","NA","NA","NA","0"
"1661","Muramic acid. N-acetyl-","NA","NA","NA","NA","NA","NA","NA","0"
"1662","D228685","NA","NA","NA","NA","NA","NA","NA","0"
"1663","Unknown#sst-cgl-111","NA","NA","NA","NA","NA","NA","NA","0"
"1664","Unknown#sst-cgl-112","NA","NA","NA","NA","NA","NA","NA","0"
"1665","NA229001","NA","NA","NA","NA","NA","NA","NA","0"
"1666","NA","NA","NA","NA","NA","NA","NA","NA","0"
"1667","Hyoscyamine","Hyoscyamine","HMDB0014568",NA,"17486","C02046",NA,"CN1[C@H]2CC[C@@H]1C[C@@H](C2)OC(=O)[C@H](CO)C1=CC=CC=C1","1"
"1668","Unknown#sst-cgl-114","NA","NA","NA","NA","NA","NA","NA","0"
"1669","NA","NA","NA","NA","NA","NA","NA","NA","0"
"1670","NA","NA","NA","NA","NA","NA","NA","NA","0"
"1671","Fructose-1-phosphate","Fructose 1-phosphate","HMDB0001076","10400369","704854","C01094","378","C([C@@H]1[C@H]([C@@H]([C@](O1)(COP(=O)(O)O)O)O)O)O","1"
"1672","Tricosane. n-","NA","NA","NA","NA","NA","NA","NA","0"
"1673","D230150","NA","NA","NA","NA","NA","NA","NA","0"
"1674","Glucose-1-phosphoric-acid","NA","NA","NA","NA","NA","NA","NA","0"
"1675","Mannose-6-phosphate","Mannose 6-phosphate","HMDB0001078","439198","49728","C00275","5987","C([C@@H]1[C@H]([C@@H]([C@@H]([C@@H](O1)O)O)O)O)OP(=O)(O)O","1"
"1676","similar to Glycerolaldopyranosid","NA","NA","NA","NA","NA","NA","NA","0"
"1677","Octadecadienoic acid. n-","NA","NA","NA","NA","NA","NA","NA","0"
"1678","NA","NA","NA","NA","NA","NA","NA","NA","0"
"1679","Eicosenoic acid methyl ester. 11-(Z)-","NA","NA","NA","NA","NA","NA","NA","0"
"1680","Homoserine lactone. N-dodecanoyl-","NA","NA","NA","NA","NA","NA","NA","0"
"1681","NA","NA","NA","NA","NA","NA","NA","NA","0"
"1682","Galactose-6-phosphate","NA","NA","NA","NA","NA","NA","NA","0"
"1683","Fructose-6-phosphate","Fructose 6-phosphate","HMDB0000124","69507","15946","C00085","5159","C([C@H]([C@H]([C@@H](C(=O)CO)O)O)O)OP(=O)(O)O","1"
"1684","Eicosan-1-ol. n-","NA","NA","NA","NA","NA","NA","NA","0"
"1685","Fructose-6-phosphate","Fructose 6-phosphate","HMDB0000124","69507","15946","C00085","5159","C([C@H]([C@H]([C@@H](C(=O)CO)O)O)O)OP(=O)(O)O","1"
"1686","Gluconic acid-6-phosphate","6-Phosphogluconic acid","HMDB0001316","91493","48928","C00345","367","C([C@H]([C@H]([C@@H]([C@H](C(=O)O)O)O)O)O)OP(=O)(O)O","1"
"1687","Flavone. 3-hydroxy-","NA","NA","NA","NA","NA","NA","NA","0"
"1688","Flavone. 2.3-dihydro-","NA","NA","NA","NA","NA","NA","NA","0"
"1689","Galacturonic acid-1-phosphate","NA","NA","NA","NA","NA","NA","NA","0"
"1690","Glycylglycylglycine","Glycylglycylglycine","HMDB0029419","11161","63961","",NA,"C(C(=O)NCC(=O)NCC(=O)O)N","1"
"1691","Mannose-6-phosphate","Mannose 6-phosphate","HMDB0001078","439198","49728","C00275","5987","C([C@@H]1[C@H]([C@@H]([C@@H]([C@@H](O1)O)O)O)O)OP(=O)(O)O","1"
"1692","Glucose-6-phosphate","Glucose 6-phosphate","HMDB0001401","5958","4170","C00668","145","C([C@@H]1[C@H]([C@@H]([C@H](C(O1)O)O)O)O)OP(=O)(O)O","1"
"1693","Siloxane","NA","NA","NA","NA","NA","NA","NA","0"
"1694","Unknown#sst-cgl-116","NA","NA","NA","NA","NA","NA","NA","0"
"1695","NA","NA","NA","NA","NA","NA","NA","NA","0"
"1696","NA","NA","NA","NA","NA","NA","NA","NA","0"
"1697","NA","NA","NA","NA","NA","NA","NA","NA","0"
"1698","NA","NA","NA","NA","NA","NA","NA","NA","0"
"1699","Galactose-6-phosphate","NA","NA","NA","NA","NA","NA","NA","0"
"1700","Glucose-6-phosphate","Glucose 6-phosphate","HMDB0001401","5958","4170","C00668","145","C([C@@H]1[C@H]([C@@H]([C@H](C(O1)O)O)O)O)OP(=O)(O)O","1"
"1701","Nonadecanoic acid","Nonadecanoic acid","HMDB0000772","12591","39246","C16535","5738","CCCCCCCCCCCCCCCCCCC(=O)O","1"
"1702","Eicosanoic acid methyl ester","NA","NA","NA","NA","NA","NA","NA","0"
"1703","NA","NA","NA","NA","NA","NA","NA","NA","0"
"1704","D235202","NA","NA","NA","NA","NA","NA","NA","0"
"1705","Unknown#sst-cgl-A08","NA","NA","NA","NA","NA","NA","NA","0"
"1706","NA","NA","NA","NA","NA","NA","NA","NA","0"
"1707","NA","NA","NA","NA","NA","NA","NA","NA","0"
"1708","NA","NA","NA","NA","NA","NA","NA","NA","0"
"1709","Decylplastodihydroquinone","NA","NA","NA","NA","NA","NA","NA","0"
"1710","Decylplastoquinone","NA","NA","NA","NA","NA","NA","NA","0"
"1711","Glucose-6-phosphate. 2-amino-2-deoxy-","NA","NA","NA","NA","NA","NA","NA","0"
"1712","Glucose-6-phosphate. 2-amino-2-deoxy-","NA","NA","NA","NA","NA","NA","NA","0"
"1713","Glycyl-phenylalanine","Glycyl-Phenylalanine","HMDB0028848",NA,NA,"",NA,"NCC(=O)NC(CC1=CC=CC=C1)C(O)=O","1"
"1714","Stilbene. 3.5-dihydroxy-.  trans-","NA","NA","NA","NA","NA","NA","NA","0"
"1715","Pyridoxal-5-monophosphate","NA","NA","NA","NA","NA","NA","NA","0"
"1716","Unknown#sst-cgl-117","NA","NA","NA","NA","NA","NA","NA","0"
"1717","NA","NA","NA","NA","NA","NA","NA","NA","0"
"1718","NA","NA","NA","NA","NA","NA","NA","NA","0"
"1719","NA","NA","NA","NA","NA","NA","NA","NA","0"
"1720","NA","NA","NA","NA","NA","NA","NA","NA","0"
"1721","NA","NA","NA","NA","NA","NA","NA","NA","0"
"1722","Glucose-6-phosphate. 2-amino-2-deoxy-. D-","NA","NA","NA","NA","NA","NA","NA","0"
"1723","Alanine. N-(3-indolylacetyl)-","NA","NA","NA","NA","NA","NA","NA","0"
"1724","Indole-3-acetic acid. 5-hydroxy-. 1H-","NA","NA","NA","NA","NA","NA","NA","0"
